"q12","q17","q21","q35","q36","q106","q122","q144","q149","q152","q204","q275","q294","q309","q322","q323","q324","q325","q326","q327","q350","q352","q357","q358","q360","q366","q393","q444","q605","q627","q1121","q1128","q1158","q1222","q1447","q1688","q4043","q6413","q7077","q7273","q8054","q8439","q12822","q12832","q14649","q14913","q15565","q15701","q15764","q16371","q18633","q18682","q18691","q18840","q18841","q18902","q18979","q18984","q19236","q19446","q19574","q19832","q19854","q19874","q20021","q20534","q22206","q22991","q23233","q24682","q25294","q27915","q28426","q28820","q30207","q33107","q33593","q34536","q35856","q36045","q37772","q38296","q38646","q41953","q42524","q43261","q49053","q54016","q57717","q57724","q59426","q60500","q60577","q61598","q68307","q69186","q69429","q73389","q80594","q81307","q83114","q83660","q83677","q85272","q85315","q85706","q85999","q232388","q19691","q60394","q81014","q1536","q19691.1","q20930","q401","q1495","q15261","q15778","q16288","q51155","q61705","q67641","q68235","q70968","q47122","p_trusting","p_explove","q1688.1","q23618","q33870","q37748","q458","q56163","q62454","q47379","q61666","q65062","q1185","q20135","q34207","q35660","q46091","q55929","q20424","q55587","q81710","q83392"
NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,0,NA,0.5,1,1,1,0,0,0,1,NA,0.5,1,1,1,0,NA,NA,1,1,NA,1,0,NA,0,0,1,0.5,1,1,1,NA,0,1,0,0,0,0,NA,0,NA,1,1,0,NA,0,NA,1,1,NA,1,1,1,0.5,0,0.5,NA,NA,1,0,1,NA,NA,0,1,0,1,1,NA,0,1,0.5,1,1,NA,1,0.5,NA,NA,0.5,0,1,NA,1,0,NA,0,1,0,0,NA,1,NA,NA,NA,0,NA,0,1,1,1,0,0,NA,0.5,0.5,1,NA,0.5,0.5,NA,NA,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA
NA,0,NA,1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,1,NA,1,NA,NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA
1,1,1,0,NA,1,NA,0,0,NA,NA,0,1,1,1,NA,1,1,0,0,NA,NA,1,1,NA,1,NA,NA,0,1,1,NA,1,1,NA,NA,NA,0,1,0,1,1,NA,0,NA,0,NA,0,NA,0.5,0.5,0,0.5,0.25,1,1,NA,NA,NA,0.5,NA,0.5,1,0.5,NA,0.5,NA,NA,1,NA,0.5,NA,NA,1,0,0.5,NA,NA,NA,NA,0.5,NA,NA,NA,0,0,0.5,1,0,NA,0,0,0,NA,NA,1,NA,NA,0,1,NA,1,1,NA,1,NA,0,0.5,0.5,0.5,NA,NA,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-39,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
0,1,1,1,1,1,0.5,1,1,1,0,0,1,0,1,0.5,0,1,1,0,0,1,1,0,1,1,1,0,0,0,NA,1,1,1,NA,0,NA,NA,0,0,1,NA,1,1,1,1,NA,NA,NA,1,NA,0,NA,0.75,NA,NA,1,NA,0,1,NA,0.5,NA,0.5,1,NA,NA,NA,1,0,1,0.5,NA,0.5,1,0.5,1,NA,NA,1,1,NA,NA,1,0,1,0.5,1,0,NA,0,1,0,0,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,0,0.5,0.5,NA,NA,NA,0.5,0.5,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,-18,NA,1,NA,0,NA,0,NA,NA,NA,0.5,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
1,1,NA,1,NA,0,0,NA,1,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
1,0,1,1,NA,1,0,NA,0,NA,NA,0,0,1,0,0.5,1,1,1,NA,NA,0,1,NA,NA,0,1,NA,0,NA,1,0.5,NA,1,NA,NA,0.5,NA,0,1,1,0,NA,NA,NA,1,NA,NA,NA,0,NA,0,0.5,0.75,NA,NA,1,NA,0,0.5,NA,NA,0,1,0.5,NA,NA,1,NA,0,0.5,NA,NA,1,0,NA,NA,NA,NA,0.5,1,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,NA,0,1,NA,NA,0.5,1,NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,1,1,1,0,0,1,1,1,0,0,NA,0,1,1,NA,1,1,0,0,1,NA,1,1,1,NA,0,0,NA,1,1,1,0,1,0,0,1,NA,NA,1,1,1,0,NA,1,NA,0,NA,1,NA,NA,NA,0,1,1,1,0,0,0.5,NA,0.5,1,1,NA,1,0.5,0,1,0,1,1,1,0,NA,1,1,0,0.5,1,1,NA,1,1,0,0,1,1,0,0,0,1,0,0,0,NA,NA,0,1,1,1,NA,1,0,1,0,0,0.5,NA,0.5,0.5,NA,NA,NA,0,1,0,1,NA,1,0,NA,1,1,NA,NA,24,1,NA,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,NA,0,1,1,NA
NA,NA,NA,1,NA,NA,0,NA,1,NA,0,0,NA,0,NA,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,0.5,1,1,1,NA,0,0,0,NA,0.5,1,1,1,0,NA,NA,1,0,NA,1,1,NA,0,NA,1,0.5,1,1,1,0,0,NA,0,0,1,NA,1,1,NA,1,NA,NA,NA,1,0,0,0.5,1,1,NA,1,0.5,NA,0.5,NA,NA,1,1,1,NA,0.5,NA,1,NA,1,1,NA,0.5,0,NA,NA,NA,NA,0.5,NA,NA,NA,1,0,1,0.5,1,0,NA,0,NA,1,NA,0.5,1,1,1,1,1,NA,NA,NA,0,1,0,1,0.5,1,0.5,NA,NA,1,0.5,1,NA,NA,1,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA
1,0,1,1,1,1,0,1,1,1,0,0,0,NA,1,0.5,NA,0,1,NA,1,1,1,1,NA,1,0,NA,NA,0,NA,0.5,1,1,NA,0,NA,1,1,NA,NA,1,1,0,NA,1,1,0,0,0,0,1,NA,1,1,NA,0.5,0.5,NA,NA,NA,0.5,1,0.5,0.5,NA,NA,NA,0,0,1,1,NA,1,1,0.5,1,NA,0.5,0,1,NA,NA,0.5,0,1,0.5,NA,0,NA,0,1,NA,0,NA,1,0,0,1,1,NA,NA,1,1,1,0,0,0.5,NA,0.5,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,39,NA,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA
NA,1,0,1,NA,NA,0.5,NA,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,0.5,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-30,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,0,1,0,1,0,NA,0,0,NA,1,NA,0.5,0,0,NA,1,NA,NA,NA,1,NA,NA,0,NA,0,0,NA,0.5,1,1,NA,0,NA,0,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,0.5,NA,NA,1,0.5,0.5,NA,NA,NA,NA,NA,0.5,NA,NA,0.5,NA,0.5,NA,NA,NA,0,0.5,NA,NA,NA,0,1,NA,NA,0,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.5,0,NA,NA,NA,NA,NA,NA
NA,1,NA,1,NA,1,0.5,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,1,NA,0.5,NA,NA,NA,NA,0.5,NA,1,0,1,NA,NA,0.5,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,0,0.5,NA,NA,NA,0.5,0,NA,NA,NA,1,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0.5,NA,NA,1,1,1,NA,NA,1,NA,NA,NA
NA,0,1,0,NA,1,0.5,0,0,NA,0,0,0,0,1,0,NA,1,0,NA,NA,0,1,NA,0,1,1,0,0,NA,NA,0.5,1,0,NA,NA,NA,NA,1,0,1,NA,1,0,1,1,NA,NA,NA,0.5,0,0,NA,0.75,NA,NA,0.5,NA,NA,NA,NA,1,1,1,0.5,NA,0.5,0,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.5,NA,0,0.5,1,0,NA,0,1,0,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,0,1,0.5,0.5,NA,NA,0.5,0.5,0,NA,NA,0,NA,NA,NA,0,1,NA,NA,-47,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,NA,NA,1,0,NA,1,NA,NA,NA,0,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1,0.5,NA,0,NA,NA,0,NA,1,1,0.5,1,1,1,1,1,1,1,1,1,NA,1,0,0,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,1,1,1,0,1,1,NA,NA,NA,1,0,0,NA,1,NA,NA,1,NA,NA,0.5,NA,0.5,1,1,1,NA,NA,NA,1,NA,1,0,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,0,NA,0,1,NA,0,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,0,0.5,NA,NA,NA,0.5,0.5,1,NA,NA,0.5,NA,NA,NA,0.5,1,NA,1,-53,56,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA
NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,0.5,0,1,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,1,0,NA,NA,NA,0.5,NA,NA,NA,0.25,NA,0.5,NA,NA,NA,1,NA,NA,NA,0.5,NA,NA,1,NA,0,NA,0,NA,NA,0.5,0.5,NA,NA,NA,NA,1,NA,NA,0,0.5,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,1,NA,NA,0.5,NA,NA,NA,0.5,NA,0,NA,NA,0.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,1,NA,NA,NA,NA,NA,NA
NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,0,0,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,0.5,1,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,0.5,NA,0,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,NA,1,0.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
NA,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
1,0,0,1,1,1,0,NA,1,NA,0,0,1,1,1,0.5,1,1,1,0,NA,0,1,1,0,1,1,0,0,NA,NA,1,1,1,0,NA,0.5,1,0,NA,1,1,1,0,1,1,NA,NA,NA,1,0,1,NA,1,NA,NA,0.5,NA,NA,0.5,NA,NA,1,0.5,0.5,NA,0.5,NA,1,0,1,1,NA,1,1,NA,1,NA,NA,0,NA,NA,NA,0.5,1,1,0,1,0,NA,0,1,0,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,1,NA,NA,0.5,NA,0.5,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0.5,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
NA,0,1,1,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,0,0,1,1,NA,0,0,0,1,NA,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0.5,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
